E_alpha,E_beta,E_theta,E_delta,R,Label
30556.678771972656,71063.28010559082,118836.4028930664,71063.28010559082,0.4299925183100103,0
207318.36557388303,255473.19650650027,286653.5782814026,255473.19650650027,0.8115073064763099,0
77326.35736465454,87740.48089981079,97808.89749526978,87740.48089981079,0.881307653794969,0
972361.6242408752,429946.7206001282,3998.3391761779785,429946.7206001282,2.261586326053688,0
191192.68655776975,81643.87941360472,11487.066745758057,81643.87941360472,2.3417883610012584,0
67478.17993164062,290690.5412673951,445530.1761627197,290690.5412673951,0.2321306349956878,0
33706.6650390625,254737.13874816892,425552.3681640625,254737.13874816892,0.1323193987523925,0
956059.992313385,433603.3463478089,788.271427154541,433603.3463478089,2.2049183899667018,0
429383.2778930664,176964.40219879153,1642.465591430664,176964.40219879153,2.4263822133601884,0
67098.20032119751,198731.9588661194,327208.5785865784,198731.9588661194,0.3376316557439049,0
33527.61268615723,234169.96002197269,433874.36866760254,234169.96002197269,0.1431764035105581,0
459323.8830566406,220908.2841873169,1413.583755493164,220908.2841873169,2.079251508137928,0
668114.6621704102,353775.0244140626,24109.840393066406,353775.0244140626,1.888529760621091,0
57.28006362915039,188561.49911880496,321092.6651954651,188561.49911880496,0.0003037739087609,0
24566.8888092041,375276.2079238892,680947.3037719727,375276.2079238892,0.0654634860683376,0
224096.8346595764,94533.26463699342,23134.291172027588,94533.26463699342,2.3705606224444438,0
806751.3108253479,380449.5930671693,10265.40994644165,380449.5930671693,2.1205208929817783,0
216533.89930725095,212471.9619750976,271436.9297027588,212471.9619750976,1.0191175216456534,0
180.30405044555664,455409.586429596,1049924.4332313538,455409.586429596,0.0003959162385208,0
164642.5724029541,223095.4170227051,412279.3674468994,223095.4170227051,0.7379917283831874,0
906586.6470336914,458035.7074737549,308.990478515625,458035.7074737549,1.979292514188183,0
403547.5254058838,234490.03696441653,92240.3335571289,234490.03696441653,1.7209580868765075,0
5187.094211578369,345895.58839797985,848503.6492347717,345895.58839797985,0.0149961271133941,0
22033.69140625,98357.43904113768,306595.8023071289,98357.43904113768,0.2240165219941776,0
462971.2700843811,287669.4798469544,6530.344486236572,287669.4798469544,1.609386127199488,0
647914.9460792542,372893.1546211243,36917.26922988892,372893.1546211243,1.7375351036882507,0
40175.97436904907,158012.44974136353,519764.9598121643,158012.44974136353,0.2542582842985444,0
172865.92721939087,175262.98761367795,400760.7102394104,175262.98761367795,0.9863230655432464,0
367183.9237213135,213612.67566680905,10514.259338378906,213612.67566680905,1.718923854004073,0
947960.8535766602,531201.3626098634,8973.121643066406,531201.3626098634,1.784560282223678,0
30556.678771972656,200679.89826202395,612642.5266265869,200679.89826202395,0.152265767705719,0
109435.61792373656,214683.35390090937,655799.4484901428,214683.35390090937,0.5097536252123599,0
34066.200256347656,38907.28950500488,24414.0625,38907.28950500488,0.8755737212679776,0
800622.9996681213,508011.16228103655,1469.1948890686035,508011.16228103655,1.57599489757906,0
92834.47265625,94822.04914093018,148420.5722808838,94822.04914093018,0.979038878586919,0
319710.73150634766,203213.2148742676,293755.5313110352,203213.2148742676,1.5732772679383062,0
4474.878311157227,4165.768623352052,57244.30084228516,4165.768623352052,1.0742023179281726,0
719349.1458892822,418606.7581176759,2336.740493774414,418606.7581176759,1.718436532472473,0
272200.64401626587,166593.37282180783,3936.827182769776,166593.37282180783,1.6339224028282209,0
219040.45343399048,155242.50268936157,241528.09381484985,155242.50268936157,1.4109567266658145,0
57712.55493164063,55541.27693176269,177155.4946899414,55541.27693176269,1.0390930515073598,0
772047.1024513245,435007.39336013806,5328.714847564697,435007.39336013806,1.7747907604231332,0
761358.4995269775,430873.1555938721,28707.74269104004,430873.1555938721,1.7670130748284787,0
14545.679092407228,147029.1614532471,508909.4638824463,147029.1614532471,0.0989305723343359,0
27723.55079650879,164487.4811172485,512398.71978759766,164487.4811172485,0.1685450504087124,0
677325.7851600647,381576.1208534241,30471.384525299072,381576.1208534241,1.77507382706542,0
924809.0386390686,511987.5073432922,1662.3139381408691,511987.5073432922,1.806311727092544,0
381.4697265625,29363.75141143799,126011.13319396973,29363.75141143799,0.0129911781780684,0
254413.84315490723,216309.666633606,318607.3303222656,216309.666633606,1.1761556804848838,0
56545.49598693848,36223.649978637695,572.4430084228516,36223.649978637695,1.5610104453936933,0
516250.6699562073,301178.2765388489,61164.43872451782,301178.2765388489,1.714103274276544,0
93430.5191040039,41527.27127075195,4409.7900390625,41527.27127075195,2.2498593392965818,0
96287.7869606018,218240.3206825257,442601.74036026,218240.3206825257,0.4412007215690987,0
33259.92822647095,85697.23367691043,195486.6051673889,85697.23367691043,0.3881097066897765,0
891309.3209266663,440629.541873932,682.4135780334473,440629.541873932,2.022808813807763,0
477030.3368568421,223211.5864753723,515.5205726623535,223211.5864753723,2.1371217524564945,0
3577.7688026428223,275784.79051589966,589551.031589508,275784.79051589966,0.012973046105806,0
7301.568984985352,168059.46826934812,358361.24420166016,168059.46826934812,0.0434463411087506,0
534298.1815338135,266379.95243072504,16366.004943847656,266379.95243072504,2.005774746403874,0
766907.274723053,389684.9751472474,9970.72458267212,389684.9751472474,1.9680185884335608,0
14311.075210571287,267381.6680908204,551567.3160552979,267381.6680908204,0.053523023147983,0
79376.4591217041,264447.3314285278,498513.22174072266,264447.3314285278,0.300159803817711,0
145798.6831665039,97406.50653839114,52891.01600646973,97406.50653839114,1.496806407989181,0
642032.8617095947,302570.8198547363,46367.88368225098,302570.8198547363,2.121925908181871,0
29206.275939941406,46080.11245727538,98267.5552368164,46080.11245727538,0.6338152053561267,0
