E_alpha,E_beta,E_theta,E_delta,R,Label
276805.46045303345,150703.01294326788,35985.05258560181,150703.01294326788,1.8367612899500343,0
435806.2744140625,193828.2251358032,29039.62135314941,193828.2251358032,2.2484149256834014,0
325534.8801612854,258642.9715156556,98114.55011367798,258642.9715156556,1.258626431074625,0
63357.412815094,117005.40781021117,89736.52124404907,117005.40781021117,0.5414913207931636,0
2.9206275939941406,4382.431507110597,2408.0872535705566,4382.431507110597,0.0006664399863991,0
140259.0274810791,40684.81922149659,34.332275390625,40684.81922149659,3.447453624347693,0
103855.13305664062,57584.04731750488,6729.1259765625,57584.04731750488,1.8035400062105371,0
68113.86346817017,3987.371921539306,3936.827182769776,3987.371921539306,17.082395324155044,0
360117.1970367432,161559.22412872314,34066.200256347656,161559.22412872314,2.2290104386105365,0
41160.643100738525,7073.223590850831,17964.89953994751,7073.223590850831,5.819219846800764,0
389710.009098053,199792.6831245422,36542.95206069946,199792.6831245422,1.950571977929364,0
1305.5801391601562,27294.63577270508,35156.25,27294.63577270508,0.0478328470851312,0
1201.8680572509766,15801.548957824709,10117.530822753906,15801.548957824709,0.0760601419809434,0
283265.1138305664,125146.03137969968,15020.60890197754,125146.03137969968,2.263476601755952,0
212688.50564956665,113498.27051162715,15080.511569976808,113498.27051162715,1.8739360933942872,0
45634.80615615845,8886.396884918217,353.395938873291,8886.396884918217,5.135355391745867,0
248293.936252594,103719.29407119752,40962.75568008423,103719.29407119752,2.3939030676602373,0
3519.594669342041,6010.591983795168,26996.6721534729,6010.591983795168,0.5855653950278159,0
137348.41346740723,44572.830200195305,2529.382705688477,44572.830200195305,3.0814380161752752,0
36636.3525390625,3404.855728149414,1305.5801391601562,3404.855728149414,10.760030810167356,0
717693.567276001,221644.63996887204,21888.97132873535,221644.63996887204,3.238037100183404,0
21314.85939025879,5419.254302978515,11856.317520141602,5419.254302978515,3.9331720193576776,0
177566.7667388916,108214.02072906496,2106.6665649414062,108214.02072906496,1.640885030817447,0
10414.361953735352,13219.118118286133,526.6666412353516,13219.118118286133,0.787825773288845,0
93729.25758361816,1122.117042541504,2884.8648071289062,1122.117042541504,83.52894932540104,0
53.64418029785156,42573.92883300781,3967.5235748291016,42573.92883300781,0.0012600241924644,0
81592.79823303223,65220.35598754884,149.01161193847656,65220.35598754884,1.25103270286671,0
131.6666603088379,20178.139209747307,2755.224704742432,20178.139209747307,0.006525213199304,0
156619.6084022522,5762.875080108644,410.616397857666,5762.875080108644,27.177338780576093,0
229678.6904335022,13759.195804595947,5187.094211578369,13759.195804595947,16.692740890916255,0
57595.31259536743,19063.293933868405,41359.00735855103,19063.293933868405,3.021267614881703,0
300676.5842437744,204274.4159698487,117159.12818908691,204274.4159698487,1.4719248262991234,0
484478.53326797485,131590.90280532837,77598.15454483032,131590.90280532837,3.6817023285013697,0
32727.77795791626,12801.706790924074,560.8201026916504,12801.706790924074,2.556516759243308,0
25028.228759765625,51804.78096008302,1603.1265258789062,51804.78096008302,0.4831258485399359,0
95079.48160171507,69366.27626419067,12667.238712310793,69366.27626419067,1.370687410689198,0
14722.883701324465,49282.848834991455,335.27612686157227,49282.848834991455,0.2987425453146902,0
24797.022342681885,20302.83212661743,2266.4666175842285,20302.83212661743,1.2213577981651376,0
44186.17486953735,105.44061660766604,7259.9053382873535,105.44061660766604,419.0621820237422,0
16179.144382476808,14845.430850982662,52554.6669960022,14845.430850982662,1.0898400016060068,0
410.616397857666,3221.094608306885,13110.697269439695,3221.094608306885,0.1274772857645121,0
145985.1861000061,9913.980960845947,4706.442356109619,9913.980960845947,14.725183221206164,0
397059.977054596,100147.545337677,45011.10315322876,100147.545337677,3.964749966819367,0
312572.717666626,246578.6933898925,171043.63441467285,246578.6933898925,1.2676387946154908,0
16933.023929595947,31440.556049346927,99649.96576309204,31440.556049346927,0.5385726608339573,0
5012.750625610352,9283.661842346191,2884.8648071289062,9283.661842346191,0.5399540300730639,0
135544.7769165039,26375.889778137203,13391.733169555664,26375.889778137203,5.138965094889654,0
23507.118225097656,8748.173713684084,15260.934829711914,8748.173713684084,2.6870886420930704,0
382126.8081665039,191013.57460021967,10715.484619140623,191013.57460021967,2.000521737610917,0
30216.217041015625,48839.807510375984,11539.459228515623,48839.807510375984,0.6186801009524088,0
77870.4285621643,10039.627552032469,3017.4851417541504,10039.627552032469,7.756306512227125,0
32463.31214904785,23233.89053344727,526.6666412353516,23233.89053344727,1.397239610056439,0
378813.80319595337,159799.15857315063,7094.442844390869,159799.15857315063,2.3705619389888417,0
2084.3148231506348,4661.6196632385245,451.1475563049317,4661.6196632385245,0.4471224539375265,0
506126.64222717285,180371.5229034424,22178.88832092285,180371.5229034424,2.806023002301288,0
35064.756870269775,15677.75011062622,10364.5920753479,15677.75011062622,2.236593683586221,0
360117.1970367432,147837.75806427002,6257.057189941406,147837.75806427002,2.4358946033271702,0
114335.11972427368,63127.10046768188,9776.651859283447,63127.10046768188,1.8111891545344765,0
100576.93719863892,17603.933811187737,1054.3465614318848,17603.933811187737,5.713321708510389,0
76784.19351577759,25171.33951187133,8561.670780181885,25171.33951187133,3.050461159588449,0
114665.56787490845,31721.889972686764,1583.6358070373535,31721.889972686764,3.614714254845408,0
94628.33404541016,29810.547828674316,126.12342834472656,29810.547828674316,3.1743238866072967,0
174289.94178771973,55686.11621856688,11123.6572265625,55686.11621856688,3.129863485247117,0
240090.42978286743,77235.28146743773,17964.89953994751,77235.28146743773,3.10855900595234,0
49141.883850097656,22636.65199279785,916.4810180664062,22636.65199279785,2.170898941492443,0
47958.43362808228,5195.438861846924,3998.3391761779785,5195.438861846924,9.230872483221477,0
431305.1700592041,242410.65979003903,47638.1778717041,242410.65979003903,1.7792335140408992,0
117493.6294555664,43493.86692047119,5151.987075805664,43493.86692047119,2.7013838450005894,0
105434.65614318848,72637.20035552979,12177.467346191406,72637.20035552979,1.4515242276289335,0
62134.32550430298,10374.12881851196,13.41104507446289,10374.12881851196,5.98935357284443,0
17060.33945083618,7757.723331451416,10.073184967041016,7757.723331451416,2.1991425476170354,0
344.27642822265625,42346.11988067627,13618.707656860352,42346.11988067627,0.0081300584136814,0
19.31190490722656,21218.41907501221,6412.506103515625,21218.41907501221,0.0009101481518936,0
21.517276763916016,8659.899234771727,8926.928043365479,8659.899234771727,0.0024847029024908,0
23432.31439590454,36705.79195022584,27157.366275787357,36705.79195022584,0.6383819324121781,0
153543.05505752563,50140.20204544067,391.0660743713379,50140.20204544067,3.062274358575058,0
157975.1968383789,47171.7119216919,400.78163146972656,47171.7119216919,3.348939235036201,0
224096.8346595764,208093.2259559631,69137.15600967407,208093.2259559631,1.0769059570781032,0
188851.35650634769,203459.38205718997,75571.29859924316,203459.38205718997,0.9282017599624078,0
113346.6362953186,21776.25894546509,236.5708351135254,21776.25894546509,5.205055495490563,0
265617.4302101135,60808.47978591919,1184.999942779541,60808.47978591919,4.368098514306551,0
305515.2893066406,187766.19434356692,38721.323013305664,187766.19434356692,1.6271048703667137,0
167.4294471740723,4634.439945220948,8834.898471832275,4634.439945220948,0.0361272233868789,0
946.2833404541016,18734.93194580079,12069.940567016602,18734.93194580079,0.0505090353779587,0
421421.5874671936,72971.40359878539,4978.2395362854,72971.40359878539,5.775160770981911,0
260359.0488433838,78635.3349685669,2384.185791015625,78635.3349685669,3.310967632393984,0
100.19540786743164,5237.162113189696,57.28006362915039,5237.162113189696,0.0191316223752347,0
197000.74195861816,47808.885574340806,53.64418029785156,47808.885574340806,4.120588455304826,0
1051926.672458649,246885.12086868283,761.0917091369629,246885.12086868283,4.260794124641331,0
886245.7275390625,222064.2566680908,137.3291015625,222064.2566680908,3.990942715574858,0
117996.27542495728,62434.25607681274,2039.968967437744,62434.25607681274,1.8899284277494504,0
88424.9210357666,42489.17102813721,15.2587890625,42489.17102813721,2.081116644455355,0
883948.8625526428,168213.42706680295,4841.387271881104,168213.42706680295,5.254924520392765,0
1133580.2674293518,239160.83574295047,3235.8765602111816,239160.83574295047,4.739823992953935,0
36542.95206069946,43476.402759552,4706.442356109619,43476.402759552,0.8405238184677268,0
3785.1333618164062,51382.303237915046,30216.217041015625,51382.303237915046,0.0736660897486462,0
466633.0814361572,73259.94968414305,19501.686096191406,73259.94968414305,6.36955230583729,0
541101.0384559631,106195.50943374634,14486.849308013916,106195.50943374634,5.095328807604123,0
35431.44464492798,40237.009525299065,15080.511569976808,40237.009525299065,0.8805685378445041,0
1642.465591430664,16291.260719299322,5222.320556640625,16291.260719299322,0.1008188144386474,0
152969.5987701416,37839.531898498535,46.73004150390625,37839.531898498535,4.042586974396779,0
708211.0047340393,178659.73711013794,3875.792026519776,178659.73711013794,3.96402130770768,0
278348.98233413696,86160.71939468384,10265.40994644165,86160.71939468384,3.2305786707638755,0
2911.150455474853,11226.952075958254,20258.963108062744,11226.952075958254,0.2593001587411139,0
