E_alpha,E_beta,E_theta,E_delta,R,Label
179837.28647232056,79307.61575698853,931.3225746154784,79307.61575698853,2.267591639917298,0
27480.18503189087,32193.95875930785,42157.23276138306,32193.95875930785,0.8535820411941683,0
2039.968967437744,67283.68997573851,139710.96277236938,67283.68997573851,0.0303189222852273,0
318607.3303222656,170240.99826812744,61769.72389221192,170240.99826812744,1.8715076483542643,0
299873.8884925842,148818.31407546997,901.7586708068848,148818.31407546997,2.015033501458092,0
18030.405044555664,42655.22956848146,72384.11903381348,42655.22956848146,0.4227009261691696,0
50.12750625610352,124419.03352737424,265114.3670082092,124419.03352737424,0.0004028925867284,0
206430.01794815063,186270.0581550598,158557.9514503479,186270.0581550598,1.108229739082965,0
404789.2093658447,200973.15311431885,8248.329162597656,200973.15311431885,2.014145686093654,0
15686.094760894775,4592.716693878175,1583.6358070373535,4592.716693878175,3.415428341531153,0
50668.95484924317,72799.32498931886,88134.765625,72799.32498931886,0.6960085805284228,0
19844.114780426025,44544.7564125061,89736.52124404907,44544.7564125061,0.4454871095636908,0
377612.6503944397,163901.15022659305,7343.3518409729,163901.15022659305,2.303904822341948,0
84264.33801651001,37216.48454666138,410.616397857666,37216.48454666138,2.2641670497077944,0
6971.597671508789,70281.26716613768,146919.48890686035,70281.26716613768,0.0991956740766874,0
39299.96490478516,143464.68448638913,269405.6034088135,143464.68448638913,0.2739347669113205,0
228043.5562133789,90679.2879104614,1804.5902252197263,90679.2879104614,2.514836204255969,0
267129.48083877563,116485.1784706116,9394.22845840454,116485.1784706116,2.2932486720288674,0
59962.80908584595,183297.2168922424,334510.862827301,183297.2168922424,0.3271343127980888,0
14486.849308013916,193404.0188789368,377612.6503944397,193404.0188789368,0.0749045929447935,0
83557.12890625,34746.64688110352,5951.881408691406,34746.64688110352,2.404753736156664,0
144310.95123291016,72358.25061798094,20748.37684631348,72358.25061798094,1.9943952486470016,0
82852.90002822876,83369.55308914185,125145.97177505492,83369.55308914185,0.9938028567772138,0
64840.85321426392,301741.6596412658,566535.5324745178,301741.6596412658,0.214888634507253,0
61527.252197265625,53046.82254791259,63234.56764221192,53046.82254791259,1.1598668731137176,0
214493.81113052368,91717.06438064577,12448.370456695557,91717.06438064577,2.338646712898788,0
226879.17947769165,134743.7500953674,83134.2339515686,134743.7500953674,1.6837825822504842,0
9019.434452056885,90238.15393447876,168027.93741226196,90238.15393447876,0.0999514513407026,0
5914.270877838135,8956.49194717407,15931.665897369385,8956.49194717407,0.6603334109739462,0
336490.6311035156,164254.30774688724,3153.085708618164,164254.30774688724,2.048595471980201,0
444552.9580116272,274952.23283767694,99341.92895889282,274952.23283767694,1.616837053562235,0
43368.8759803772,221655.1899909973,390930.2353858948,221655.1899909973,0.1956591947255494,0
3433.2275390625,86308.00247192381,165833.4732055664,86308.00247192381,0.0397787857525649,0
192261.6958618164,76645.97034454347,11.682510375976562,76645.97034454347,2.508438408406213,0
393682.7182769776,186155.55763244632,15503.168106079102,186155.55763244632,2.1148050763774773,0
13504.981994628906,71111.91749572752,132683.75396728516,71111.91749572752,0.1899116557423767,0
2174.4370460510254,98725.3785133362,182330.6679725647,98725.3785133362,0.0220251072094628,0
190339.6248817444,99115.90814590456,59962.80908584595,99115.90814590456,1.9203741199803472,0
520117.0444488525,227208.73355865476,20889.2822265625,227208.73355865476,2.2891595595931724,0
40371.95444107056,22828.161716461185,29793.32208633423,22828.161716461185,1.7685153514555094,0
52442.78907775879,75172.66273498535,68752.52723693848,75172.66273498535,0.6976311224020527,0
64592.42105484009,56286.63301467896,77055.03702163696,56286.63301467896,1.1475623535341877,0
609588.8614654541,250324.7261047364,40666.818618774414,250324.7261047364,2.435192363739573,0
136986.73248291016,49192.667007446296,20328.521728515625,49192.667007446296,2.784698224680001,0
40962.75568008423,70179.76045608522,62622.129917144775,70179.76045608522,0.5836833214287837,0
28295.576572418213,81256.68764114378,126184.52310562134,81256.68764114378,0.3482245879549111,0
527183.7711334229,237110.25714874276,42057.037353515625,237110.25714874276,2.2233697414562408,0
165436.0294342041,66577.19612121582,2729.654312133789,66577.19612121582,2.484875288724955,0
10117.530822753906,46669.602394104,86117.02919006348,46669.602394104,0.2167905939569801,0
26676.714420318604,163372.57623672485,285608.82806777954,163372.57623672485,0.1632875910683098,0
379114.38941955566,209078.0735015869,74501.27601623535,209078.0735015869,1.813267087601504,0
184421.5989112854,78960.23988723755,1253.187656402588,78960.23988723755,2.335626122395985,0
682.4135780334473,20605.38530349732,47958.43362808228,20605.38530349732,0.0331182148735467,0
15870.094299316406,201563.95435333255,385151.1478424072,201563.95435333255,0.0787347834598285,0
208208.6205482483,145280.89761734006,127924.97873306274,145280.89761734006,1.4331451963950246,0
174493.84927749634,80076.75409317018,14841.61615371704,80076.75409317018,2.1790824472539287,0
34246.68312072754,21374.940872192383,15503.168106079102,21374.940872192383,1.602188437642912,0
35064.756870269775,259447.6342201233,460317.1944618225,259447.6342201233,0.1351515768323397,0
46262.80069351196,73620.61738967896,107185.90021133424,73620.61738967896,0.628394630931167,0
201359.03358459476,87066.88880920412,5293.130874633789,87066.88880920412,2.3126935662746275,0
329446.85220718384,178771.31700515747,105276.16739273071,178771.31700515747,1.842839543424516,0
57361.1855506897,284899.53279495233,514147.8180885315,284899.53279495233,0.2013382927938097,0
5082.130432128906,84160.80474853516,157199.85961914062,84160.80474853516,0.060385953381908,0
153351.7837524414,58467.984199523926,2432.107925415039,58467.984199523926,2.622833433578339,0
307949.1257667541,112020.79057693484,18359.720706939697,112020.79057693484,2.749035461906132,0
68113.86346817017,163808.88223648068,332255.42306900024,163808.88223648068,0.4158130043878721,0
24034.082889556885,141948.99797439575,314486.563205719,141948.99797439575,0.1693149175585731,0
154117.58422851562,58608.2935333252,12393.951416015623,58608.2935333252,2.6296207402947678,0
424597.3229408264,180882.27510452276,14841.61615371704,180882.27510452276,2.347368323930429,0
188427.209854126,196254.96864318848,281708.0020904541,196254.96864318848,0.9601143408333568,0
12285.470962524414,79915.2851104736,159921.88453674316,79915.2851104736,0.1537311785291284,0
11330.604553222656,3326.5352249145512,4875.421524047852,3326.5352249145512,3.4061279340619954,0
362465.14320373535,169047.95169830325,5654.335021972656,169047.95169830325,2.1441557827959974,0
