E_alpha,E_beta,E_theta,E_delta,R,Label
462971.2700843811,231869.7571754455,42357.98120498657,231869.7571754455,1.9966867422648455,0
1432.0015907287598,4102.766513824463,8652.269840240479,4102.766513824463,0.349033167230834,0
66215.75355529785,14996.64783477783,0.95367431640625,14996.64783477783,4.415370307072282,0
64.90945816040039,1185.2383613586428,1742.8994178771973,1185.2383613586428,0.0547648981644455,0
178184.56888198853,87181.38933181764,27967.989444732662,87181.38933181764,2.0438372254404813,0
188851.35650634769,112936.13910675047,48494.577407836914,112936.13910675047,1.672195968447619,0
17445.147037506104,35663.6643409729,40371.95444107056,35663.6643409729,0.4891574480602069,0
275522.4704742432,234885.3349685669,51330.56640625,234885.3349685669,1.1730083979534716,0
585060.6560707092,315462.88728713995,50999.2241859436,315462.88728713995,1.8546100972510804,0
40371.95444107056,17286.83710098267,16428.53021621704,17286.83710098267,2.3354159124213423,0
3044.366836547852,1284.83772277832,1642.465591430664,1284.83772277832,2.369456299870106,0
9299.814701080322,1672.3275184631343,788.271427154541,1672.3275184631343,5.561000819759776,0
3017.4851417541504,4184.7825050354,1359.0455055236816,4184.7825050354,0.7210614023843097,0
17060.33945083618,2143.6810493469234,2.9206275939941406,2143.6810493469234,7.958431808702907,0
18227.63681411743,13692.20018386841,10867.655277252195,13692.20018386841,1.3312423547234205,0
12557.566165924072,1768.4102058410642,3404.676914215088,1768.4102058410642,7.101048232161516,0
8606.910705566406,7346.272468566896,1135.110855102539,7346.272468566896,1.1716024340770788,0
163258.6121559143,51625.0729560852,4639.685153961182,51625.0729560852,3.1623899552605,0
453057.8255653381,256191.79010391235,59485.49509048462,256191.79010391235,1.7684322568712143,0
108147.20392227171,106259.88245010376,62622.129917144775,106259.88245010376,1.0177613736120423,0
560.8201026916504,1077.4731636047363,4249.155521392822,1077.4731636047363,0.5204956574652874,0
151255.66720962524,47875.70238113404,4639.685153961182,47875.70238113404,3.1593409534860264,0
275266.23010635376,125742.01822280884,37293.49374771118,125742.01822280884,2.1891348174370413,0
292.06275939941406,3727.078437805176,10715.484619140623,3727.078437805176,0.0783623860546937,0
86978.91235351562,47610.87894439697,7639.169692993164,47610.87894439697,1.8268705447571163,0
22764.44435119629,3300.3091812133785,381.4697265625,3300.3091812133785,6.897670218529891,0
173272.19247817993,61073.60124588013,7767.736911773682,61073.60124588013,2.837104558164047,0
53.64418029785156,336.64703369140625,482.79762268066406,336.64703369140625,0.1593484419263456,0
22397.57776260376,2234.51852798462,251.8296241760254,2234.51852798462,10.023446877750803,0
99958.47940444946,66326.67779922487,12339.651584625244,66326.67779922487,1.507062960503317,0
696752.13098526,363574.8028755188,16553.938388824463,363574.8028755188,1.9163927903546571,0
265869.140625,179933.5479736328,35523.414611816406,179933.5479736328,1.4775962771765054,0
76648.95057678223,30979.39491271972,0.2384185791015625,30979.39491271972,2.4741913388796117,0
3208.160400390625,3672.242164611816,5293.130874633789,3672.242164611816,0.8736244116214901,0
351090.9676551819,122214.8537635803,3017.4851417541504,122214.8537635803,2.8727356523647543,0
125318.7656402588,40176.8684387207,5293.130874633789,40176.8684387207,3.1191770416701283,0
26597.023010253903,11330.84297180176,747.6806640625,11330.84297180176,2.34731194108364,0
11856.317520141602,14006.257057189943,244.140625,14006.257057189943,0.8465014937060079,0
412906.6467285156,207751.51252746588,24109.840393066406,207751.51252746588,1.9875024817156368,0
64716.57752990723,22811.055183410645,1682.281494140625,22811.055183410645,2.8370707540514126,0
15200.674533843994,7170.736789703367,2553.999423980713,7170.736789703367,2.119820456340136,0
32199.9192237854,50350.48723220826,9112.417697906494,50350.48723220826,0.6395155438175724,0
389405.2505493164,253714.2038345337,64716.57752990723,253714.2038345337,1.5348184873531052,0
228977.20336914065,96045.1364517212,14311.075210571287,96045.1364517212,2.384058285806488,0
3577.7688026428223,5053.341388702393,131.6666603088379,5053.341388702393,0.7080006133449711,0
43267.25006103516,65416.45526885987,17509.69886779785,65416.45526885987,0.6614123294086774,0
224559.36670303345,136805.83238601687,25260.50806045532,136805.83238601687,1.6414458564120835,0
129853.2485961914,34020.54309844971,11.682510375976562,34020.54309844971,3.816906985300559,0
100576.93719863892,48575.93774795533,734.3888282775879,48575.93774795533,2.0705094304200524,0
112690.0315284729,110213.33932876584,17834.246158599854,110213.33932876584,1.0224718007347466,0
298271.7156410217,172964.6325111389,24951.04074478149,172964.6325111389,1.724466506884366,0
416680.3359985352,153217.31567382815,14663.6962890625,153217.31567382815,2.71953815511017,0
440330.74378967285,210642.93384552005,29206.275939941406,210642.93384552005,2.090413078430629,0
601230.6213378906,413953.423500061,31416.17774963379,413953.423500061,1.4524112791588062,0
655404.0908813477,401776.909828186,24566.8888092041,401776.909828186,1.631263705924817,0
631124.73487854,286872.98297882086,31937.599182128903,286872.98297882086,2.200014544155015,0
787569.5824623108,359513.58079910284,13448.29797744751,359513.58079910284,2.1906532173603943,0
573909.8191261292,345859.82561111444,11382.639408111572,345859.82561111444,1.6593711574105592,0
208654.4632911682,121161.7588996887,14486.849308013916,121161.7588996887,1.7221148420593315,0
511699.914932251,199358.4632873535,10816.812515258787,199358.4632873535,2.566732841407848,0
747785.8066558838,322366.714477539,24566.8888092041,322366.714477539,2.319674374160568,0
400451.66015625,233465.6715393066,32639.503479003903,233465.6715393066,1.7152485738736514,0
156426.42974853516,103714.46609497067,12612.342834472656,103714.46609497067,1.5082411898577046,0
363347.589969635,157466.70961380002,12777.388095855713,157466.70961380002,2.3074565465981647,0
792778.0747413635,317891.8957710266,17060.33945083618,317891.8957710266,2.493860602575384,0
610351.5625,300836.8015289306,39688.1103515625,300836.8015289306,2.028846070022136,0
334793.3292388916,232596.63581848145,64220.66688537598,232596.63581848145,1.4393730505206643,0
437419.4741249085,257593.69134902957,56661.66543960571,257593.69134902957,1.6980985513819198,0
821289.0625,373096.1084365845,12069.940567016602,373096.1084365845,2.201280163284242,0
758804.3212890625,356637.2394561769,16117.095947265623,356637.2394561769,2.127664296768715,0
95230.1025390625,53345.79944610595,18293.61915588379,53345.79944610595,1.785147162997741,0
73174.47662353516,43415.18878936768,721.2162017822266,43415.18878936768,1.6854579851891718,0
537873.2681274414,219041.94355010983,24566.8888092041,219041.94355010983,2.455572021549348,0
576872.8852272034,239686.7871284485,52331.03036880493,239686.7871284485,2.406777996144011,0
89590.31105041504,39757.84778594971,7053.375244140625,39757.84778594971,2.2533994177138523,0
64344.46573257446,41260.30206680298,300.46701431274414,41260.30206680298,1.5594763612829785,0
583567.6789283752,259342.49162673956,29624.998569488525,259342.49162673956,2.2501815081204626,0
